data_in, wen_en, wen, ren_en, ren, data_out, valid_out
0x00, 0, 0, 0, 0, 0x00, 0
0x00, 1, 1, 0, 0, 0x00, 0
0x01, 1, 1, 0, 0, 0x00, 0
0x02, 1, 1, 0, 0, 0x00, 0
0x03, 1, 1, 0, 0, 0x00, 0
0x04, 1, 1, 0, 0, 0x00, 0
0x05, 1, 1, 0, 0, 0x00, 0
0x06, 1, 1, 0, 0, 0x00, 0
0x07, 1, 1, 0, 0, 0x00, 0
0x08, 1, 1, 0, 0, 0x00, 0
0x09, 1, 1, 0, 0, 0x00, 0
0x0A, 1, 1, 0, 0, 0x00, 0
0x0B, 1, 1, 0, 0, 0x00, 0
0x0C, 1, 1, 1, 1, 0x00, 1
0x0D, 1, 1, 1, 1, 0x00, 1
0x0E, 1, 1, 1, 1, 0x02, 1
0x0F, 1, 1, 1, 1, 0x02, 1
0x10, 1, 1, 1, 1, 0x04, 1
0x11, 1, 1, 1, 1, 0x04, 1
0x12, 1, 1, 1, 1, 0x06, 1
0x13, 1, 1, 1, 1, 0x06, 1
0x14, 1, 1, 1, 1, 0x08, 1
0x15, 1, 1, 1, 1, 0x08, 1
0x16, 1, 1, 1, 1, 0x0A, 1
0x17, 1, 1, 1, 1, 0x0A, 1
0x18, 1, 1, 1, 1, 0x0C, 1
0x19, 1, 1, 1, 1, 0x0C, 1
0x1A, 1, 1, 1, 1, 0x0E, 1
0x1B, 1, 1, 1, 1, 0x0E, 1
0x1C, 1, 1, 1, 1, 0x10, 1
0x1D, 1, 1, 1, 1, 0x10, 1
